Name,Chromosome,Region,Identifier,wtN_vs_wtO - Max group means,wtN_vs_wtO - Fold change,wtN_vs_wtO - Log fold change,wtN_vs_wtO - P-value,wtN_vs_wtO - FDR p-value,wtN_vs_wtO - Bonferroni,WT5_N - Total counts,WT5_N - RPKM,WT5_N - TPM,WT5_N - CPM,WT6_N - Total counts,WT6_N - RPKM,WT6_N - TPM,WT6_N - CPM,WT7_N - Total counts,WT7_N - RPKM,WT7_N - TPM,WT7_N - CPM,WT8_N - Total counts,WT8_N - RPKM,WT8_N - TPM,WT8_N - CPM,Wt11N - Total counts,Wt11N - RPKM,Wt11N - TPM,Wt11N - CPM,Wt13N - Total counts,Wt13N - RPKM,Wt13N - TPM,Wt13N - CPM,Wt14N - Total counts,Wt14N - RPKM,Wt14N - TPM,Wt14N - CPM,Wt17N - Total counts,Wt17N - RPKM,Wt17N - TPM,Wt17N - CPM,Wt19N - Total counts,Wt19N - RPKM,Wt19N - TPM,Wt19N - CPM,Wt20N - Total counts,Wt20N - RPKM,Wt20N - TPM,Wt20N - CPM,Wt0O - Total counts,Wt0O - RPKM,Wt0O - TPM,Wt0O - CPM,WT1_O - Total counts,WT1_O - RPKM,WT1_O - TPM,WT1_O - CPM,WT2_O - Total counts,WT2_O - RPKM,WT2_O - TPM,WT2_O - CPM,WT3_O - Total counts,WT3_O - RPKM,WT3_O - TPM,WT3_O - CPM,WT4_O - Total counts,WT4_O - RPKM,WT4_O - TPM,WT4_O - CPM
thrL,NC_000913,190..255,944742,88.85772019,-1.307103892,-0.386373814,0.329694942,0.476485667,1,34,114.212355,62.81502922,8.180545469,36,102.6830358,58.6071474,6.828691599,36,127.9055314,73.44301976,8.685620661,44,134.9278022,74.32570837,9.175804503,10,37.94758685,20.65745236,2.859431271,6,22.81034229,12.68141677,1.755242105,8,29.73017444,16.72030787,2.217058129,8,34.02603102,19.17091677,2.555763639,2,7.455357283,4.154889614,0.548256657,6,20.2640733,10.96987117,1.763897234,5,18.79710922,12.0255139,1.285576079,30,95.71937224,61.92201639,6.38285681,31,86.4267647,56.27176072,5.761749937,55,128.0875832,83.45685023,8.318542843,45,115.2577715,75.12866745,7.590225585
thrA,NC_000913,337..2799,945803,1521.839637,-1.577629208,-0.657758167,0.000206582,0.00099648,0.926726578,8342,750.9030681,412.9850764,2007.120891,10448,798.5624539,455.7857786,1981.838051,7304,695.3878747,399.289889,1762.215925,9182,754.5110106,415.6264642,1914.823567,6864,697.9767595,379.9562199,1962.713625,12684,1292.160048,718.3767736,3710.58181,7819,778.6426837,437.9101583,2166.897189,8295,945.4035324,532.6584352,2650.007423,8533,852.3534722,475.0187623,2339.137027,11787,1066.739323,577.4748624,3465.176115,16393,1651.42564,1056.505112,4214.889733,17629,1507.251721,975.0593177,3750.779423,20245,1512.459893,984.7502852,3762.794435,23276,1452.553757,946.4271113,3520.407331,21644,1485.507175,968.3006448,3650.729835
thrB,NC_000913,2801..3733,947498,1090.302361,-1.711154343,-0.774969894,2.72484E-08,2.71636E-07,0.000122236,2474,587.8901134,323.3304719,595.254985,2896,584.3284727,333.510055,549.330302,2156,541.8734516,311.1423109,520.1721707,2534,549.6897921,302.7995901,528.442923,1982,532.0471309,289.6294381,566.7392779,2488,669.1033739,371.9882252,727.8403929,2022,531.5583118,298.9494274,560.3614422,2049,616.4893193,347.3418755,654.594962,1940,511.5669596,285.0975703,531.8089572,2584,617.3483595,334.1989476,759.6517419,4173,1109.766823,709.9770606,1072.941796,4904,1106.856552,716.0388537,1043.384327,5630,1110.34323,722.9354095,1046.408134,6481,1067.698555,695.6705419,980.2268394,5833,1056.846645,688.8861292,983.8619075
thrC,NC_000913,3734..5020,945198,1100.193752,-1.74636081,-0.80435166,1.34241E-06,1.00872E-05,0.006022061,3616,622.9138397,342.5929799,870.025071,4221,617.4146643,352.3942581,800.66409,2860,521.0966093,299.2123027,690.0243081,3711,583.5863331,321.4716827,773.8956934,2790,542.9423965,295.5604722,797.7813246,2773,540.6246083,300.5604163,811.2143929,2873,547.5307125,307.9323367,796.2010007,2717,592.6200403,333.8934672,868.0012258,2734,522.6396619,291.2684155,749.46685,3451,597.7035637,323.5643197,1014.534892,5658,1090.810707,697.8498221,1454.757891,7015,1147.814353,742.5349487,1492.524684,7637,1091.879573,710.9138737,1419.434977,9306,1111.406107,724.1486697,1407.497449,8063,1059.058019,690.3275734,1359.999753
yaaX,NC_000913,5234..5530,944747,77.09563045,-1.239824248,-0.310135626,0.075567263,0.15472147,1,65,48.52158873,26.68612352,15.6392781,89,56.41228513,32.19775382,16.88204312,71,56.05736251,32.18799014,17.12997408,93,63.3751798,34.91055999,19.39431406,60,50.59678247,27.54326981,17.15658763,88,74.34481932,41.33202503,25.74355087,55,45.42109983,25.54491481,15.24227464,58,54.81971664,30.88647703,18.52928638,66,54.67262008,30.4691905,18.09246968,78,58.54065619,31.69073893,22.93066404,95,79.36557227,50.77439203,24.42594551,111,78.70259495,50.91365792,23.6165702,125,77.44333755,50.42272466,23.23286265,160,82.8040942,53.95190318,24.19939736,118,67.1625533,43.77868029,19.9032582
yaaA,NC_000913,complement(5683..6459),944749,79.95600734,-1.041057929,-0.058050348,0.629239416,0.749341126,1,269,76.75547547,42.21432465,64.72255092,318,77.04531519,43.97421742,60.32010913,220,66.39454867,38.12357525,53.07879293,235,61.2124199,33.71919202,49.00713769,222,71.55830664,38.95405302,63.47937422,247,79.76280567,44.34415619,72.25746666,216,68.18426106,38.34696091,59.86056949,171,61.77892312,34.80742708,54.62944778,206,65.22717994,36.35127361,56.47043566,236,67.70339032,36.65094666,69.37995786,228,72.80795355,46.57913338,58.62226921,307,83.20317119,53.82513497,65.31790135,364,86.20071388,56.12458088,67.65409604,405,80.11655784,52.2008098,61.25472457,356,77.45164022,50.48543316,60.04711796
yaaJ,NC_000913,complement(6529..7959),944745,9.319423506,1.137526044,0.185899577,0.364083097,0.51215954,1,78,12.0846221,6.646355293,18.76713372,76,9.998022125,5.706449479,14.41612671,57,9.340410921,5.363239388,13.75223271,87,12.30473667,6.778130638,18.14306799,52,9.10105647,4.954324004,14.86904261,56,9.81912708,5.458946702,16.38225965,49,8.39861846,4.723399342,13.57948104,48,9.416008584,5.305159359,15.33458183,36,6.189353216,3.449342321,9.868619825,42,6.542279429,3.541635555,12.34728064,48,8.322745215,5.324504269,12.34153036,70,10.30103657,6.663864797,14.89333256,77,9.901057646,6.446497779,14.31144339,76,8.163233815,5.318843285,11.49471375,74,8.741656281,5.698088544,12.4817043
talB,NC_000913,8238..9191,944748,1700.115067,-1.330325174,-0.41177893,0.015295525,0.042259631,1,4371,1015.805446,558.6772882,1051.681301,5885,1161.283425,662.8116155,1116.301391,4293,1055.220634,605.904913,1035.760264,4929,1045.690467,576.0242399,1027.898645,4158,1091.601715,594.233054,1188.951523,5102,1341.88892,746.0235555,1492.54087,4651,1195.774728,672.5060308,1288.94217,3736,1099.319002,619.3773552,1193.541619,4967,1280.938226,713.8701379,1361.595407,5224,1220.602419,660.7680051,1535.766525,6813,1771.964473,1133.620237,1751.725966,7691,1697.684405,1098.252518,1636.351724,8966,1729.341874,1125.960372,1666.446772,10167,1638.071017,1067.302888,1537.720456,9388,1663.513564,1084.33085,1583.489729
mog,NC_000913,9306..9893,944760,55.1517769,-1.110320448,-0.150976111,0.337051243,0.48368902,1,130,49.01670699,26.95843091,31.2785562,124,39.69945037,22.65877241,23.52104884,107,42.67143152,24.50182377,25.81559474,106,36.48557915,20.09827829,22.10534721,103,43.87205705,23.88254441,29.45214209,99,42.24568496,23.48650147,28.96149473,124,51.72443614,29.08992339,34.36440101,105,50.12763498,28.24286846,33.54439776,111,46.44383287,25.88326642,30.42824446,126,47.76531563,25.85755347,37.04184191,128,54.01291793,34.55494607,32.91074763,163,58.37579402,37.76400524,34.68018867,169,52.88589716,34.43357577,31.4108303,195,50.97363006,33.21241999,29.49301553,207,59.51064531,38.79092421,34.91503769
satP,NC_000913,complement(9928..10494),944792,50.30569936,1.260932308,0.334490828,0.044891899,0.102642741,1,112,43.79384419,24.08593713,26.94767919,235,78.02341201,44.53247385,44.57618127,137,56.65891704,32.53340117,33.05361196,138,49.25935634,27.13478242,28.77865958,107,47.26381982,25.72891156,30.5959146,82,36.28735229,20.1739646,23.98830877,135,58.39855693,32.84346189,37.41285593,97,48.02351203,27.05736534,30.98863412,107,46.4283361,25.87463003,29.33173115,99,38.91988681,21.06911764,29.10430435,73,31.94514012,20.43701093,18.76941076,121,44.93914796,29.07167683,25.74418913,138,44.78437577,29.15874135,25.64908037,193,52.31937261,34.08925311,29.19052307,149,44.42268961,28.95611662,25.13208027
